"i","lon","lat","x","y","z","gbli","land"
285,61.2899345984992,-51.235581508569,0.385742566271121,0.704279460865044,-1,2185,TRUE
286,63.6975762893507,-48.9592460076933,0.385742566271121,0.780407659653944,-1,2185,TRUE
287,65.9066261705929,-46.6219784813631,0.385742566271121,0.86260593225674,-1,2330,TRUE
288,67.9442715600653,-44.2297563830864,0.385742566271121,0.952079146700925,-1,2475,TRUE
289,-70.8640898693498,-44.7784235175082,0.330355377344334,-0.952079146700925,-1,2564,FALSE
290,-69.0444747476463,-47.2713073514224,0.330355377344334,-0.86260593225674,-1,2420,FALSE
291,-67.0565106882931,-49.7204052780426,0.330355377344334,-0.780407659653944,-1,2277,TRUE
292,-64.8702011650459,-52.1202902523425,0.330355377344334,-0.704279460865044,-1,2134,TRUE
293,-62.4494844631792,-54.4642527452607,0.330355377344334,-0.633243016177569,-1,1991,TRUE
294,-59.7510247369149,-56.743890269085,0.330355377344334,-0.566493002730344,-1,1848,TRUE
295,-56.7229728833439,-58.9485789932351,0.330355377344334,-0.503357699799294,-1,1705,TRUE
296,-53.3039500429337,-61.064805275923,0.330355377344334,-0.443269513890864,-1,1707,TRUE
297,-49.422783989817,-63.0753483905484,0.330355377344334,-0.385742566271121,-1,1564,TRUE
